title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Drip,Basic hydration IV drip,Hydration treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Hydration,80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Calm Drip,Calm and relaxation IV drip,Stress relief treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Stress Relief,480,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Liver Detox Drip,Liver detoxification IV drip,Liver health treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Detox,Liver Health",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Slimming Drip,Weight loss and slimming IV drip,Slimming treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Weight Loss,Slimming",350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Skin Health Drip,Skin health and rejuvenation IV drip,Skin health treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Skin Rejuvenation,Skin Health",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Body Reset Drip,Body reset and recovery IV drip,Body reset treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Body Reset,Recovery",380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Energy Booster & Recovery Drip,Energy boost and recovery IV drip,Energy and recovery treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Energy Boost,Recovery",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Essential Multivi & Elderly Drip,Essential multivitamin and elderly care IV drip,Multivitamin and elderly health treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Multivitamin,Elderly Care",1200,1800,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
NAD+ Drip,NAD+ anti-aging IV drip,NAD+ treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Anti-Aging,NAD+",,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Peak Performance Drip,Peak performance and all-inclusive IV drip,Peak performance treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Peak Performance,All-Inclusive",1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
"Vitamin Exosome, Anti-Aging & Restore Drip","Vitamin exosome, anti-aging, and restoration IV drip",Advanced anti-aging and restoration treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Anti-Aging,Vitamin Therapy,Restoration",1500,3500,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
High Dose Vitamin C Premium & Restore Drip,High dose vitamin C premium and restoration IV drip,High dose vitamin C treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Vitamin C,Premium Treatment,Restoration",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Herpes Fighter Drip,Herpes treatment IV drip,Herpes management treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Herpes Treatment,400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
HPV Fighter Drip,HPV treatment IV drip,HPV management treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,HPV Treatment,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Protection+ Drip,Protective health IV drip,Protective health treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Preventive Health,,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
